respondent_id,route,current_commute_min,willing_to_shift,preferred_departure_slot_evening,incentive_preference
1,Mindspace→Gachibowli,20,Yes,4:45-5:15 PM,Yes - transport stipend
2,Mindspace→Kukatpally,35,Yes,5:45-6:15 PM,Yes - small (coffee/month)
3,Gachibowli→HITEC,45,Yes,6:45-7:15 PM,None
4,Mindspace→Gachibowli,50,Yes,5:45-6:15 PM,None
5,Mindspace→Kukatpally,40,Yes,6:15-6:45 PM,Yes - small (coffee/month)
6,Mindspace→Kukatpally,40,Yes,6:45-7:15 PM,Yes - small (coffee/month)
7,Raidurg→Madhapur,30,Maybe,7:45-8:15 PM,Yes - small (coffee/month)
8,Mindspace→Kukatpally,35,Yes,5:15-5:45 PM,Yes - transport stipend
9,Madhapur→IKEA,40,Yes,5:45-6:15 PM,None
10,Mindspace→Gachibowli,30,No,5:15-5:45 PM,Yes - small (coffee/month)
11,Mindspace→Gachibowli,35,Yes,7:45-8:15 PM,None
12,Raidurg→Madhapur,35,Maybe,7:45-8:15 PM,Yes - transport stipend
13,Gachibowli→HITEC,20,Maybe,6:15-6:45 PM,Yes - transport stipend
14,Mindspace→Kukatpally,35,Yes,7:15-7:45 PM,Yes - small (coffee/month)
15,Raidurg→Madhapur,30,Yes,6:15-6:45 PM,Yes - small (coffee/month)
16,Raidurg→Madhapur,35,Yes,6:15-6:45 PM,None
17,Mindspace→Kukatpally,30,Yes,4:45-5:15 PM,Yes - small (coffee/month)
18,Madhapur→IKEA,50,Yes,6:45-7:15 PM,Yes - transport stipend
19,Gachibowli→HITEC,40,No,5:15-5:45 PM,Yes - small (coffee/month)
20,Raidurg→Madhapur,45,Yes,7:15-7:45 PM,None
21,Madhapur→IKEA,45,Yes,6:45-7:15 PM,Yes - small (coffee/month)
22,Madhapur→IKEA,40,Yes,6:45-7:15 PM,Yes - transport stipend
23,Gachibowli→HITEC,20,Maybe,4:45-5:15 PM,None
24,Gachibowli→HITEC,40,Yes,5:45-6:15 PM,None
25,Raidurg→Madhapur,40,Yes,5:15-5:45 PM,Yes - small (coffee/month)
26,Raidurg→Madhapur,45,Yes,5:45-6:15 PM,Yes - transport stipend
27,Raidurg→Madhapur,35,Maybe,4:45-5:15 PM,None
28,Gachibowli→HITEC,30,Yes,7:45-8:15 PM,None
29,Mindspace→Kukatpally,35,No,6:15-6:45 PM,None
30,Madhapur→IKEA,35,No,5:45-6:15 PM,None
31,Madhapur→IKEA,40,Yes,5:45-6:15 PM,Yes - small (coffee/month)
32,Mindspace→Kukatpally,40,No,5:45-6:15 PM,Yes - small (coffee/month)
33,Gachibowli→HITEC,35,Yes,6:15-6:45 PM,Yes - small (coffee/month)
34,Mindspace→Kukatpally,60,No,6:15-6:45 PM,Yes - small (coffee/month)
35,Mindspace→Kukatpally,40,No,7:15-7:45 PM,None
36,Gachibowli→HITEC,30,Yes,5:45-6:15 PM,Yes - transport stipend
37,Mindspace→Kukatpally,30,Yes,7:45-8:15 PM,Yes - small (coffee/month)
38,Gachibowli→HITEC,30,Maybe,7:15-7:45 PM,Yes - transport stipend
39,Gachibowli→HITEC,30,Yes,5:15-5:45 PM,Yes - small (coffee/month)
40,Mindspace→Gachibowli,30,Yes,7:45-8:15 PM,None
41,Mindspace→Kukatpally,30,Yes,4:45-5:15 PM,Yes - small (coffee/month)
42,Mindspace→Kukatpally,35,No,7:15-7:45 PM,None
43,Raidurg→Madhapur,30,No,5:45-6:15 PM,Yes - small (coffee/month)
44,Other,50,Yes,7:15-7:45 PM,None
45,Raidurg→Madhapur,20,Yes,7:15-7:45 PM,None
46,Mindspace→Kukatpally,40,Yes,7:15-7:45 PM,Yes - transport stipend
47,Raidurg→Madhapur,35,No,6:45-7:15 PM,None
48,Mindspace→Gachibowli,60,Yes,5:45-6:15 PM,Yes - transport stipend
49,Gachibowli→HITEC,30,No,4:45-5:15 PM,None
50,Mindspace→Kukatpally,35,Yes,5:45-6:15 PM,Yes - small (coffee/month)
51,Gachibowli→HITEC,60,Maybe,5:15-5:45 PM,Yes - small (coffee/month)
52,Mindspace→Gachibowli,50,Yes,6:45-7:15 PM,Yes - small (coffee/month)
53,Other,50,Yes,5:45-6:15 PM,None
54,Mindspace→Kukatpally,35,Yes,7:45-8:15 PM,None
55,Raidurg→Madhapur,30,Maybe,6:15-6:45 PM,None
56,Madhapur→IKEA,45,Maybe,7:15-7:45 PM,None
57,Mindspace→Kukatpally,60,Yes,5:15-5:45 PM,Yes - small (coffee/month)
58,Madhapur→IKEA,40,No,7:15-7:45 PM,Yes - transport stipend
59,Raidurg→Madhapur,40,Maybe,7:45-8:15 PM,Yes - transport stipend
60,Mindspace→Kukatpally,35,No,5:45-6:15 PM,Yes - small (coffee/month)
61,Mindspace→Kukatpally,45,Yes,6:15-6:45 PM,Yes - small (coffee/month)
62,Gachibowli→HITEC,30,Yes,6:45-7:15 PM,Yes - small (coffee/month)
63,Mindspace→Kukatpally,35,Yes,5:15-5:45 PM,None
64,Raidurg→Madhapur,35,Maybe,6:15-6:45 PM,Yes - transport stipend
65,Mindspace→Kukatpally,40,Maybe,5:45-6:15 PM,Yes - small (coffee/month)
66,Raidurg→Madhapur,30,No,5:15-5:45 PM,Yes - small (coffee/month)
67,Mindspace→Kukatpally,30,Yes,5:45-6:15 PM,None
68,Madhapur→IKEA,40,Yes,4:45-5:15 PM,Yes - small (coffee/month)
69,Other,35,No,4:45-5:15 PM,Yes - small (coffee/month)
70,Other,40,Maybe,5:15-5:45 PM,Yes - transport stipend
71,Gachibowli→HITEC,30,Maybe,7:45-8:15 PM,Yes - small (coffee/month)
72,Mindspace→Kukatpally,40,No,6:15-6:45 PM,None
73,Gachibowli→HITEC,40,No,7:45-8:15 PM,Yes - transport stipend
74,Mindspace→Kukatpally,20,Yes,5:45-6:15 PM,None
75,Mindspace→Kukatpally,35,Yes,5:45-6:15 PM,Yes - small (coffee/month)
76,Mindspace→Kukatpally,30,Maybe,6:15-6:45 PM,None
77,Mindspace→Gachibowli,20,No,5:45-6:15 PM,Yes - small (coffee/month)
78,Gachibowli→HITEC,60,Yes,4:45-5:15 PM,Yes - transport stipend
79,Raidurg→Madhapur,35,Yes,6:15-6:45 PM,None
80,Mindspace→Gachibowli,50,No,5:15-5:45 PM,Yes - transport stipend
81,Mindspace→Kukatpally,35,Yes,6:15-6:45 PM,None
82,Other,45,Yes,6:15-6:45 PM,Yes - transport stipend
83,Mindspace→Gachibowli,45,Yes,5:15-5:45 PM,Yes - small (coffee/month)
84,Mindspace→Gachibowli,40,No,4:45-5:15 PM,Yes - transport stipend
85,Mindspace→Kukatpally,40,No,6:45-7:15 PM,None
86,Gachibowli→HITEC,35,Yes,5:45-6:15 PM,Yes - transport stipend
87,Raidurg→Madhapur,35,No,4:45-5:15 PM,Yes - small (coffee/month)
88,Mindspace→Kukatpally,60,Yes,7:45-8:15 PM,None
89,Mindspace→Kukatpally,50,Yes,4:45-5:15 PM,Yes - transport stipend
90,Raidurg→Madhapur,60,No,6:45-7:15 PM,None
91,Raidurg→Madhapur,30,No,7:45-8:15 PM,Yes - transport stipend
92,Mindspace→Kukatpally,45,Maybe,5:15-5:45 PM,None
93,Other,60,No,5:15-5:45 PM,Yes - small (coffee/month)
94,Mindspace→Kukatpally,30,No,5:15-5:45 PM,Yes - small (coffee/month)
95,Mindspace→Gachibowli,20,Yes,5:45-6:15 PM,None
96,Madhapur→IKEA,45,Yes,4:45-5:15 PM,None
97,Mindspace→Gachibowli,40,Yes,6:45-7:15 PM,None
98,Raidurg→Madhapur,50,Yes,4:45-5:15 PM,Yes - small (coffee/month)
99,Mindspace→Gachibowli,30,Maybe,6:15-6:45 PM,None
100,Mindspace→Kukatpally,45,Yes,7:45-8:15 PM,Yes - small (coffee/month)
101,Other,30,Maybe,7:15-7:45 PM,None
102,Mindspace→Gachibowli,30,No,6:15-6:45 PM,None
103,Madhapur→IKEA,30,No,5:45-6:15 PM,Yes - small (coffee/month)
104,Mindspace→Kukatpally,50,Yes,6:15-6:45 PM,None
105,Mindspace→Kukatpally,45,No,6:15-6:45 PM,Yes - transport stipend
106,Mindspace→Kukatpally,40,Yes,5:45-6:15 PM,Yes - transport stipend
107,Raidurg→Madhapur,35,Yes,5:15-5:45 PM,Yes - small (coffee/month)
108,Mindspace→Gachibowli,50,No,7:15-7:45 PM,Yes - small (coffee/month)
109,Madhapur→IKEA,35,Yes,5:45-6:15 PM,Yes - transport stipend
110,Mindspace→Gachibowli,50,Yes,5:15-5:45 PM,None
111,Other,35,No,5:45-6:15 PM,None
112,Mindspace→Kukatpally,35,Yes,5:45-6:15 PM,None
113,Madhapur→IKEA,40,Maybe,7:15-7:45 PM,Yes - small (coffee/month)
114,Gachibowli→HITEC,35,Maybe,6:45-7:15 PM,None
115,Gachibowli→HITEC,45,Maybe,6:45-7:15 PM,Yes - small (coffee/month)
116,Gachibowli→HITEC,40,Yes,4:45-5:15 PM,Yes - transport stipend
117,Gachibowli→HITEC,30,Yes,5:45-6:15 PM,Yes - transport stipend
118,Raidurg→Madhapur,50,Maybe,5:45-6:15 PM,Yes - small (coffee/month)
119,Mindspace→Kukatpally,35,Yes,4:45-5:15 PM,None
120,Mindspace→Kukatpally,40,Maybe,5:15-5:45 PM,Yes - transport stipend
121,Madhapur→IKEA,60,Maybe,6:45-7:15 PM,Yes - small (coffee/month)
122,Raidurg→Madhapur,40,Maybe,5:15-5:45 PM,None
123,Gachibowli→HITEC,30,Yes,6:15-6:45 PM,None
124,Mindspace→Gachibowli,60,Yes,5:15-5:45 PM,Yes - transport stipend
125,Mindspace→Kukatpally,40,Maybe,4:45-5:15 PM,Yes - small (coffee/month)
126,Mindspace→Kukatpally,35,Yes,5:15-5:45 PM,Yes - transport stipend
127,Raidurg→Madhapur,30,Yes,7:45-8:15 PM,Yes - transport stipend
128,Mindspace→Gachibowli,45,No,7:15-7:45 PM,Yes - small (coffee/month)
129,Mindspace→Kukatpally,40,Maybe,7:45-8:15 PM,Yes - small (coffee/month)
130,Mindspace→Gachibowli,40,No,5:45-6:15 PM,Yes - small (coffee/month)
131,Mindspace→Kukatpally,50,No,4:45-5:15 PM,None
132,Raidurg→Madhapur,45,Yes,6:15-6:45 PM,Yes - small (coffee/month)
133,Mindspace→Kukatpally,30,No,5:45-6:15 PM,Yes - small (coffee/month)
134,Gachibowli→HITEC,35,Maybe,7:15-7:45 PM,Yes - small (coffee/month)
135,Mindspace→Kukatpally,30,Yes,4:45-5:15 PM,Yes - transport stipend
136,Mindspace→Gachibowli,45,Yes,5:45-6:15 PM,Yes - small (coffee/month)
137,Mindspace→Kukatpally,20,Maybe,5:15-5:45 PM,Yes - small (coffee/month)
138,Mindspace→Kukatpally,40,No,5:45-6:15 PM,Yes - small (coffee/month)
139,Mindspace→Gachibowli,45,No,6:45-7:15 PM,Yes - small (coffee/month)
140,Mindspace→Gachibowli,50,No,5:45-6:15 PM,Yes - small (coffee/month)
141,Raidurg→Madhapur,35,Yes,5:45-6:15 PM,None
142,Mindspace→Kukatpally,50,Yes,5:45-6:15 PM,Yes - small (coffee/month)
143,Raidurg→Madhapur,30,Maybe,5:45-6:15 PM,None
144,Madhapur→IKEA,50,Maybe,6:45-7:15 PM,None
145,Gachibowli→HITEC,30,Maybe,7:15-7:45 PM,Yes - small (coffee/month)
146,Mindspace→Kukatpally,35,Maybe,7:45-8:15 PM,Yes - small (coffee/month)
147,Mindspace→Gachibowli,45,Yes,6:45-7:15 PM,Yes - transport stipend
148,Mindspace→Kukatpally,30,Yes,5:45-6:15 PM,Yes - small (coffee/month)
149,Mindspace→Kukatpally,30,No,6:45-7:15 PM,Yes - small (coffee/month)
150,Other,45,No,5:45-6:15 PM,Yes - small (coffee/month)
151,Mindspace→Kukatpally,45,No,5:15-5:45 PM,Yes - small (coffee/month)
152,Mindspace→Gachibowli,40,No,7:15-7:45 PM,None
153,Raidurg→Madhapur,45,Maybe,4:45-5:15 PM,None
154,Gachibowli→HITEC,40,Yes,7:15-7:45 PM,None
155,Raidurg→Madhapur,35,Yes,5:45-6:15 PM,Yes - small (coffee/month)
156,Mindspace→Kukatpally,35,Yes,6:15-6:45 PM,None
157,Mindspace→Kukatpally,30,No,6:15-6:45 PM,None
158,Mindspace→Gachibowli,60,Yes,7:15-7:45 PM,None
159,Mindspace→Kukatpally,40,Yes,6:15-6:45 PM,Yes - transport stipend
160,Mindspace→Gachibowli,35,Yes,6:15-6:45 PM,None
161,Mindspace→Kukatpally,40,Yes,4:45-5:15 PM,Yes - small (coffee/month)
162,Mindspace→Kukatpally,60,No,6:15-6:45 PM,None
163,Mindspace→Gachibowli,30,Yes,5:15-5:45 PM,Yes - small (coffee/month)
164,Mindspace→Kukatpally,40,Yes,6:45-7:15 PM,None
165,Raidurg→Madhapur,40,Maybe,6:15-6:45 PM,None
166,Raidurg→Madhapur,40,Yes,6:45-7:15 PM,Yes - small (coffee/month)
167,Gachibowli→HITEC,20,Yes,4:45-5:15 PM,None
168,Mindspace→Kukatpally,50,Yes,4:45-5:15 PM,None
169,Mindspace→Kukatpally,60,No,6:45-7:15 PM,None
170,Mindspace→Kukatpally,40,Yes,4:45-5:15 PM,None
171,Raidurg→Madhapur,45,No,4:45-5:15 PM,None
172,Gachibowli→HITEC,60,Yes,4:45-5:15 PM,None
173,Mindspace→Kukatpally,45,Yes,7:45-8:15 PM,Yes - transport stipend
174,Madhapur→IKEA,30,Yes,6:45-7:15 PM,Yes - small (coffee/month)
175,Mindspace→Kukatpally,40,Yes,5:45-6:15 PM,Yes - small (coffee/month)
176,Mindspace→Gachibowli,40,No,5:15-5:45 PM,None
177,Gachibowli→HITEC,35,No,5:45-6:15 PM,Yes - transport stipend
178,Madhapur→IKEA,45,Maybe,6:45-7:15 PM,None
179,Gachibowli→HITEC,60,Yes,6:15-6:45 PM,None
180,Gachibowli→HITEC,60,Yes,5:15-5:45 PM,Yes - small (coffee/month)
181,Mindspace→Kukatpally,40,No,5:15-5:45 PM,None
182,Gachibowli→HITEC,30,Yes,4:45-5:15 PM,None
183,Mindspace→Kukatpally,60,Yes,6:15-6:45 PM,Yes - small (coffee/month)
184,Madhapur→IKEA,50,Yes,6:45-7:15 PM,Yes - transport stipend
185,Mindspace→Gachibowli,30,Yes,5:15-5:45 PM,Yes - small (coffee/month)
186,Gachibowli→HITEC,60,Maybe,4:45-5:15 PM,Yes - small (coffee/month)
187,Mindspace→Gachibowli,50,Maybe,4:45-5:15 PM,Yes - transport stipend
188,Raidurg→Madhapur,40,No,7:45-8:15 PM,None
189,Mindspace→Gachibowli,40,Yes,5:15-5:45 PM,None
190,Gachibowli→HITEC,35,Yes,6:45-7:15 PM,None
191,Mindspace→Kukatpally,20,Yes,6:15-6:45 PM,Yes - small (coffee/month)
192,Mindspace→Kukatpally,35,Yes,5:45-6:15 PM,Yes - small (coffee/month)
193,Mindspace→Kukatpally,50,Yes,5:15-5:45 PM,Yes - transport stipend
194,Mindspace→Kukatpally,20,No,5:15-5:45 PM,Yes - small (coffee/month)
195,Madhapur→IKEA,35,No,6:15-6:45 PM,Yes - small (coffee/month)
196,Mindspace→Kukatpally,35,Yes,6:45-7:15 PM,None
197,Other,40,Maybe,6:15-6:45 PM,Yes - transport stipend
198,Mindspace→Kukatpally,60,No,6:15-6:45 PM,Yes - transport stipend
199,Mindspace→Kukatpally,35,No,4:45-5:15 PM,Yes - transport stipend
200,Gachibowli→HITEC,35,No,7:45-8:15 PM,None
201,Raidurg→Madhapur,45,Yes,6:45-7:15 PM,Yes - small (coffee/month)
202,Mindspace→Gachibowli,40,Yes,5:15-5:45 PM,None
203,Raidurg→Madhapur,30,Yes,7:45-8:15 PM,None
204,Gachibowli→HITEC,40,No,6:15-6:45 PM,None
205,Mindspace→Kukatpally,30,Yes,6:15-6:45 PM,Yes - small (coffee/month)
206,Other,30,Yes,6:45-7:15 PM,Yes - small (coffee/month)
207,Other,40,Yes,7:15-7:45 PM,None
208,Raidurg→Madhapur,35,Yes,6:15-6:45 PM,None
209,Mindspace→Kukatpally,60,Maybe,5:15-5:45 PM,Yes - small (coffee/month)
210,Raidurg→Madhapur,35,No,5:45-6:15 PM,None
211,Mindspace→Kukatpally,40,Yes,7:45-8:15 PM,None
212,Mindspace→Kukatpally,40,Yes,5:15-5:45 PM,Yes - small (coffee/month)
213,Mindspace→Kukatpally,20,Yes,5:45-6:15 PM,Yes - small (coffee/month)
214,Mindspace→Gachibowli,45,Yes,5:45-6:15 PM,None
215,Madhapur→IKEA,30,Yes,5:45-6:15 PM,None
216,Gachibowli→HITEC,60,Yes,6:15-6:45 PM,None
217,Gachibowli→HITEC,30,Yes,7:45-8:15 PM,Yes - transport stipend
218,Mindspace→Gachibowli,35,No,5:15-5:45 PM,Yes - small (coffee/month)
219,Mindspace→Kukatpally,20,No,5:15-5:45 PM,Yes - small (coffee/month)
220,Mindspace→Gachibowli,60,Yes,5:15-5:45 PM,None
221,Other,40,Yes,7:15-7:45 PM,Yes - small (coffee/month)
222,Mindspace→Kukatpally,40,No,6:15-6:45 PM,None
223,Madhapur→IKEA,20,Yes,5:15-5:45 PM,Yes - small (coffee/month)
224,Raidurg→Madhapur,45,Maybe,7:15-7:45 PM,Yes - transport stipend
225,Mindspace→Gachibowli,30,No,7:15-7:45 PM,Yes - small (coffee/month)
226,Gachibowli→HITEC,50,Yes,7:15-7:45 PM,Yes - transport stipend
227,Mindspace→Gachibowli,30,Yes,7:15-7:45 PM,Yes - small (coffee/month)
228,Madhapur→IKEA,30,No,5:15-5:45 PM,None
229,Madhapur→IKEA,20,Yes,6:45-7:15 PM,Yes - transport stipend
230,Mindspace→Gachibowli,40,No,5:45-6:15 PM,None
231,Mindspace→Kukatpally,40,Maybe,7:15-7:45 PM,Yes - small (coffee/month)
232,Raidurg→Madhapur,20,No,6:45-7:15 PM,None
233,Madhapur→IKEA,45,Yes,6:45-7:15 PM,None
234,Mindspace→Kukatpally,40,No,6:15-6:45 PM,Yes - small (coffee/month)
235,Raidurg→Madhapur,40,Yes,5:15-5:45 PM,None
236,Raidurg→Madhapur,35,Yes,6:15-6:45 PM,Yes - small (coffee/month)
237,Gachibowli→HITEC,35,Maybe,7:45-8:15 PM,Yes - small (coffee/month)
238,Mindspace→Kukatpally,40,Yes,7:45-8:15 PM,None
239,Gachibowli→HITEC,30,Maybe,4:45-5:15 PM,None
240,Madhapur→IKEA,30,Maybe,5:15-5:45 PM,Yes - small (coffee/month)
241,Mindspace→Kukatpally,50,Yes,5:15-5:45 PM,None
242,Mindspace→Kukatpally,60,Yes,6:45-7:15 PM,Yes - small (coffee/month)
243,Other,35,Yes,7:15-7:45 PM,Yes - small (coffee/month)
244,Mindspace→Kukatpally,35,Yes,5:15-5:45 PM,Yes - transport stipend
245,Madhapur→IKEA,40,Yes,6:15-6:45 PM,Yes - small (coffee/month)
246,Mindspace→Gachibowli,35,No,7:15-7:45 PM,Yes - small (coffee/month)
247,Mindspace→Kukatpally,20,Yes,6:45-7:15 PM,Yes - small (coffee/month)
248,Madhapur→IKEA,30,Yes,6:15-6:45 PM,None
249,Mindspace→Gachibowli,45,Maybe,6:15-6:45 PM,None
250,Mindspace→Gachibowli,45,Yes,6:15-6:45 PM,Yes - small (coffee/month)
